Significance Analysis of Microarrays by gene																			
Gene Name	Differentiated			Immunoreactive			Mesenchymal			Proliferative			Chromosome name	Band	Description				
LHX3	1,5959	1,0563	4,8218	0,6346	1,0211	24,1232	-1,9574	0,9405	1,3817	-0,1087	0,9967	26,1394	9	q34.3	"LIM/homeobox protein Lhx3 (LIM homeobox protein 3). [Source:Uniprot/SWISSPROT;Acc:Q9UBR4]"				
LHX5	1,7877	1,063	3,2175	-0,0072	0,9997	38,7936	-1,9931	0,9397	1,3817	0,3467	1,0104	21,0108	12	q24.13	"LIM/homeobox protein Lhx5 (LIM homeobox protein 5). [Source:Uniprot/SWISSPROT;Acc:Q9H2C1]"				
LHX6	-0,3825	0,9755	24,09	-3,337	0,8158	0,0467	1,8676	1,116	3,2152	1,5702	1,0927	2,6217	9	q33.2	"LIM/homeobox protein Lhx6.1 (LIM homeobox protein 6.1) (Lhx6). [Source:Uniprot/SWISSPROT;Acc:Q9UPM6]"				
LIAS	1,7318	1,1145	4,8218	0,0001	1	38,7936	-1,586	0,9132	3,2152	0,0042	1,0002	26,223	4	p14	"Lipoyl synthase, mitochondrial precursor (EC 2.8.1.8) (Lipoic acid synthase) (Lipoate synthase) (Lip-syn) (LS). [Source:Uniprot/SWISSPROT;Acc:O43766]"				
LIF	2,5313	1,2076	0,6697	-2,2111	0,8538	1,4462	6,5991	1,5351	0	-6,5174	0,6657	0	22	q12.2	"Leukemia inhibitory factor precursor (LIF) (Differentiation- stimulating factor) (D factor) (Melanoma-derived LPL inhibitor) (MLPLI) (Emfilermin). [Source:Uniprot/SWISSPROT;Acc:P15018]"				
LIFR	3,2371	1,2377	0,066	2,7158	1,1875	0,1301	-3,1678	0,8264	0,0249	-2,2794	0,8758	0,6935	5	p13.1	"Leukemia inhibitory factor receptor precursor (LIF receptor) (LIF-R) (CD118 antigen). [Source:Uniprot/SWISSPROT;Acc:P42702]"				
LIG1	-2,114	0,9027	0,6697	0,0652	1,003	38,7936	-2,6435	0,8901	0,1264	4,4066	1,2008	0	19	q13.32	"DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1). [Source:Uniprot/SWISSPROT;Acc:P18858]"				
LIG3	-3,6634	0,8502	0	-0,4145	0,9822	30,6701	-3,5227	0,8671	0,0249	7,3594	1,3108	0	17	q12	"DNA ligase 3 (EC 6.5.1.1) (DNA ligase III) (Polydeoxyribonucleotide synthase [ATP] 3). [Source:Uniprot/SWISSPROT;Acc:P49916]"				
LIG4	-1,1357	0,947	8,9075	-0,7192	0,9675	24,1232	2,461	1,1126	0,4599	-0,6883	0,9715	18,2234	13	q33.3	"DNA ligase 4 (EC 6.5.1.1) (DNA ligase IV) (Polydeoxyribonucleotide synthase [ATP] 4). [Source:Uniprot/SWISSPROT;Acc:P49917]"				
LILRA1	0,3359	1,0114	28,1676	5,6572	1,1909	0	1,8414	1,0581	3,2152	-7,586	0,8127	0	19	q13.42	"Leukocyte immunoglobulin-like receptor subfamily A member 1 precursor (Leukocyte immunoglobulin-like receptor 6) (LIR-6) (CD85i antigen). [Source:Uniprot/SWISSPROT;Acc:O75019]"				
LILRA2	1,1611	1,0563	11,2803	6,3212	1,3111	0	2,8945	1,1313	0,1264	-10,6313	0,6818	0	19	q13.42	"Leukocyte immunoglobulin-like receptor subfamily A member 2 precursor (Leukocyte immunoglobulin-like receptor 7) (LIR-7) (Immunoglobulin- like transcript 1) (ILT-1) (CD85h antigen). [Source:Uniprot/SWISSPROT;Acc:Q8N149]"				
LILRA3	-1,3897	0,9446	4,8218	3,9691	1,1646	0	0,7854	1,0298	16,0569	-3,1384	0,8946	0,0325	19	q13.42	"Leukocyte immunoglobulin-like receptor subfamily A member 3 precursor (Leukocyte immunoglobulin-like receptor 4) (LIR-4) (Immunoglobulin- like transcript 6) (ILT-6) (Monocyte inhibitory receptor HM43/HM31) (CD85e antigen). [Source:Uniprot/SWISSPROT;Acc:Q8N6C8]"				
LILRA4	0,5984	1,02	21,7605	2,6028	1,085	0,3348	0,9013	1,0275	14,6237	-3,8302	0,8969	0	19	q13.42	"Leukocyte immunoglobulin-like receptor subfamily A member 4 precursor (Immunoglobulin-like transcript 7) (ILT-7) (CD85g antigen). [Source:Uniprot/SWISSPROT;Acc:P59901]"				
LILRA5	-1,5902	0,9428	3,2175	5,6473	1,2115	0	0,096	1,0032	21,5379	-3,7246	0,8879	0	19	q13.42	"Leukocyte immunoglobulin-like receptor subfamily A member 5 precursor (Leukocyte immunoglobulin-like receptor 9) (LIR-9) (Immunoglobulin- like transcript 11) (ILT-11) (CD85f antigen). [Source:Uniprot/SWISSPROT;Acc:A6NI73]"				
LILRB1	-3,6868	0,8022	0	11,7477	1,7905	0	4,8443	1,2981	0	-12,5716	0,5713	0	19	q13.42	"Leukocyte immunoglobulin-like receptor subfamily B member 1 precursor (Leukocyte immunoglobulin-like receptor 1) (LIR-1) (Immunoglobulin- like transcript 2) (ILT-2) (Monocyte/macrophage immunoglobulin-like receptor 7) (MIR-7) (CD85j antigen). [Source:Uniprot/SWISSPROT;Acc:Q8NHL6]"				
LILRB2	-3,5381	0,8567	0	9,8884	1,45	0	4,9205	1,2129	0	-11,0756	0,6901	0	19	q13.42	"Leukocyte immunoglobulin-like receptor subfamily B member 2 precursor (Leukocyte immunoglobulin-like receptor 2) (LIR-2) (Immunoglobulin- like transcript 4) (ILT-4) (Monocyte/macrophage immunoglobulin-like receptor 10) (MIR-10) (CD85d antigen). [Source:Uniprot/SWISSPROT;Acc:Q8N423]"				
LILRB3	-2,4164	0,8729	0,3398	9,6867	1,597	0	5,0794	1,2891	0	-12,6279	0,5931	0	19	q13.42	"Leukocyte immunoglobulin-like receptor subfamily B member 3 precursor (Leukocyte immunoglobulin-like receptor 3) (LIR-3) (Immunoglobulin- like transcript 5) (ILT-5) (Monocyte inhibitory receptor HL9) (CD85a antigen). [Source:Uniprot/SWISSPROT;Acc:O75022]"				
LILRB4	-3,6929	0,8373	0	11,387	1,5782	0	4,4117	1,2117	0	-11,5925	0,6548	0	19	q13.42	"Leukocyte immunoglobulin-like receptor subfamily B member 4 precursor (Leukocyte immunoglobulin-like receptor 5) (LIR-5) (Immunoglobulin- like transcript 3) (ILT-3) (Monocyte inhibitory receptor HM18) (CD85k antigen). [Source:Uniprot/SWISSPROT;Acc:Q8NHJ6]"				
LILRB5	0,4904	1,0104	24,09	0,8596	1,0175	16,7477	0,3538	1,0068	20,8619	-1,5619	0,9716	4,3519	19	q13.42	"Leukocyte immunoglobulin-like receptor subfamily B member 5 precursor (Leukocyte immunoglobulin-like receptor 8) (LIR-8) (CD85c antigen). [Source:Uniprot/SWISSPROT;Acc:O75023]"				
LILRP2	2,1701	1,0756	1,216	-0,354	0,9886	33,3649	-0,6188	0,981	21,5379	-0,9725	0,9716	12,1755	0	0	0				
LIM2	1,1727	1,051	11,2803	0,6978	1,0287	20,4598	-2,0172	0,9251	1,3817	0,2582	1,0096	26,223	19	q13.33	"lens intrinsic membrane protein 2, 19kDa  [Source:RefSeq_peptide;Acc:NP_085915]"				
LIMA1	-2,4266	0,8507	0,3398	-0,786	0,9508	20,4598	9,4784	1,6836	0	-5,5398	0,7311	0	12	q13.13	"LIM domain and actin-binding protein 1 (Epithelial protein lost in neoplasm). [Source:Uniprot/SWISSPROT;Acc:Q9UHB6]"				
LIMCH1	0,7642	1,0541	19,2003	-2,8614	0,8295	0,3348	2,3307	1,1569	0,4599	-0,2948	0,9823	23,8828	4	p13	"LIM and calponin homology domains-containing protein 1. [Source:Uniprot/SWISSPROT;Acc:Q9UPQ0]"				
LIMD1	3,6039	1,1312	0,0315	-0,2483	0,9917	35,6069	-3,4643	0,8973	0,0249	0,3918	1,012	21,0108	3	p21.31	"LIM domain-containing protein 1. [Source:Uniprot/SWISSPROT;Acc:Q9UGP4]"				
LIMD2	-3,4908	0,8693	0	2,2011	1,089	0,7301	-0,6045	0,9777	21,5379	1,5885	1,0581	2,6217	17	q23.3	"LIM domain-containing protein 2. [Source:Uniprot/SWISSPROT;Acc:Q9BT23]"				
LIME1	1,0347	1,0612	13,9168	2,7444	1,1613	0,1301	-0,9352	0,9521	9,6877	-2,5201	0,8815	0,2958	20	q13.33	"Lck-interacting transmembrane adapter 1 (Lck-interacting membrane protein) (Lck-interacting molecule). [Source:Uniprot/SWISSPROT;Acc:Q9H400]"				
LIMK1	1,1206	1,0391	11,2803	-0,3114	0,9898	33,3649	-0,4361	0,9864	21,5379	-0,2768	0,9917	24,711	7	q11.23	"LIM domain kinase 1 (EC 2.7.11.1) (LIMK-1). [Source:Uniprot/SWISSPROT;Acc:P53667]"				
LIMK2	-0,195	0,9876	29,8206	3,1415	1,2072	0,0467	3,2114	1,2015	0,0249	-5,9771	0,7279	0	22	q12.2	"LIM domain kinase 2 (EC 2.7.11.1) (LIMK-2). [Source:Uniprot/SWISSPROT;Acc:P53671]"				
LIMS1	-2,4313	0,8659	0,3398	0,1766	1,0101	35,6069	4,9215	1,2964	0	-2,6438	0,872	0,1052	2	q12.3	"LIM and senescent cell antigen-like-containing domain protein 1 (Particularly interesting new Cys-His protein 1) (PINCH-1) (Renal carcinoma antigen NY-REN-48). [Source:Uniprot/SWISSPROT;Acc:P48059]"				
LIMS2	-2,0173	0,8687	1,216	-5,693	0,6932	0	1,8955	1,1283	3,2152	5,1232	1,3556	0	2	q14.3	"LIM and senescent cell antigen-like-containing domain protein 2 (Particularly interesting new Cys-His protein 2) (PINCH-2) (LIM-like protein 2). [Source:Uniprot/SWISSPROT;Acc:Q7Z4I7]"				
LIN28	0,8301	1,0617	16,6018	-0,3813	0,974	30,6701	-2,1136	0,8706	0,4599	1,6434	1,1091	2,6217	1	p36.11	"Lin-28 homolog A (Zinc finger CCHC domain-containing protein 1). [Source:Uniprot/SWISSPROT;Acc:Q9H9Z2]"				
LIN37	-1,1552	0,9413	8,9075	1,2534	1,0647	9,5943	-2,1095	0,9045	0,4599	1,8839	1,0898	1,4298	19	q13.12	"Protein lin-37 homolog (Antolefinin). [Source:Uniprot/SWISSPROT;Acc:Q96GY3]"				
LIN7A	-0,8229	0,964	13,9168	-1,5223	0,9373	6,6672	2,8101	1,1196	0,1264	-0,5539	0,9786	21,0108	12	q21.31	"Lin-7 homolog A (Lin-7A) (hLin-7) (Mammalian lin-seven protein 1) (MALS-1) (Vertebrate lin-7 homolog 1) (Veli-1 protein) (Tax interaction protein 33) (TIP-33). [Source:Uniprot/SWISSPROT;Acc:O14910]"				
LIN7B	-0,7622	0,9663	16,6018	1,8381	1,0818	2,5859	0,7104	1,0295	16,0569	-1,6963	0,9356	2,6217	19	q13.33	"Lin-7 homolog B (Lin-7B) (hLin7B) (Mammalian lin-seven protein 2) (MALS-2) (Vertebrate lin-7 homolog 2) (Veli-2 protein) (hVeli2). [Source:Uniprot/SWISSPROT;Acc:Q9HAP6]"				
LIN7C	-2,4022	0,8849	0,3398	2,3433	1,1208	0,7301	0,4743	1,0224	18,9683	-0,4974	0,9779	21,0108	11	p14.1	"Lin-7 homolog C (Lin-7C) (Mammalian lin-seven protein 3) (MALS-3) (Vertebrate lin-7 homolog 3) (Veli-3 protein). [Source:Uniprot/SWISSPROT;Acc:Q9NUP9]"				
LIPA	-2,9567	0,8007	0,066	6,1845	1,5348	0	2,6966	1,2036	0,1264	-5,6206	0,6979	0	10	q23.31	"Lysosomal acid lipase/cholesteryl ester hydrolase precursor (EC 3.1.1.13) (LAL) (Acid cholesteryl ester hydrolase) (Sterol esterase) (Lipase A) (Cholesteryl esterase). [Source:Uniprot/SWISSPROT;Acc:P38571]"				
LIPC	5,0946	1,3254	0	0,7512	1,0419	20,4598	-1,3023	0,9343	6,1022	-3,8298	0,8283	0	15	q22.1	"Hepatic triacylglycerol lipase precursor (EC 3.1.1.3) (Hepatic lipase) (HL) (Lipase member C). [Source:Uniprot/SWISSPROT;Acc:P11150]"				
LIPE	0,3292	1,0124	28,1676	-1,9228	0,9336	2,5859	0,7067	1,0244	16,0569	0,7876	1,0261	12,1755	19	q13.2	"Hormone-sensitive lipase (EC 3.1.1.79) (HSL). [Source:Uniprot/SWISSPROT;Acc:Q05469]"				
LIPF	1,1358	1,0402	11,2803	-1,3201	0,9571	9,5943	-2,9597	0,9114	0,1264	3,0554	1,0961	0,0325	10	q23.31	"Gastric triacylglycerol lipase precursor (EC 3.1.1.3) (Gastric lipase) (GL). [Source:Uniprot/SWISSPROT;Acc:P07098]"				
LIPG	-2,8466	0,8161	0,066	0,0531	1,0036	38,7936	3,4928	1,2539	0	-0,8781	0,946	15,204	18	q21.1	"Endothelial lipase precursor (EC 3.1.1.3) (Endothelial cell-derived lipase) (EDL) (EL). [Source:Uniprot/SWISSPROT;Acc:Q9Y5X9]"				
LIPT1	0,1893	1,0098	32,0584	2,8372	1,1492	0,1301	-4,6146	0,8089	0	1,5677	1,0735	2,6217	2	q11.2	"Lipoyltransferase 1, mitochondrial precursor (EC 2.3.1.-) (Lipoate- protein ligase) (Lipoate biosynthesis protein) (Lipoyl ligase). [Source:Uniprot/SWISSPROT;Acc:Q9Y234]"				
LITAF	0,6871	1,0434	19,2003	3,8416	1,2501	0	2,0064	1,1194	1,3817	-6,2782	0,7233	0	16	p13.13	"Lipopolysaccharide-induced tumor necrosis factor-alpha factor (LPS- induced TNF-alpha factor) (p53-induced gene 7 protein) (Small integral membrane protein of lysosome/late endosome). [Source:Uniprot/SWISSPROT;Acc:Q99732]"				
LLGL1	-3,1842	0,9013	0,0315	-1,101	0,9657	13,0283	-1,8198	0,9467	1,3817	5,7607	1,1727	0	17	p11.2	"Lethal(2) giant larvae protein homolog 1 (LLGL) (Human homolog to the D-lgl gene protein) (Hugl-1) (DLG4). [Source:Uniprot/SWISSPROT;Acc:Q15334]"				
LLGL2	4,0007	1,2287	0	-0,9212	0,9547	16,7477	-1,9458	0,9112	1,3817	-0,7318	0,9668	15,204	17	q25.1	"Lethal(2) giant larvae protein homolog 2 (HGL). [Source:Uniprot/SWISSPROT;Acc:Q6P1M3]"				
LMAN1	-1,2361	0,9384	6,6377	2,9365	1,1537	0,0467	1,5833	1,0769	6,1022	-3,1327	0,8698	0,0325	18	q21.32	"Protein ERGIC-53 precursor (ER-Golgi intermediate compartment 53 kDa protein) (Lectin mannose-binding 1) (Gp58) (Intracellular mannose- specific lectin MR60). [Source:Uniprot/SWISSPROT;Acc:P49257]"				
LMAN1L	3,401	1,0971	0,066	0,0319	1,0008	38,7936	-2,9507	0,9289	0,1264	-0,167	0,9959	25,3788	15	q24.1	"Protein ERGIC-53-like precursor (ERGIC53-like protein) (Lectin mannose-binding 1-like) (LMAN1-like protein). [Source:Uniprot/SWISSPROT;Acc:Q9HAT1]"				
LMAN2	1,2914	1,0616	8,9075	2,5921	1,1207	0,3348	-0,5521	0,9768	21,5379	-2,9897	0,8868	0,0325	5	q35.3	"Vesicular integral-membrane protein VIP36 precursor (Lectin mannose- binding 2) (Glycoprotein GP36b). [Source:Uniprot/SWISSPROT;Acc:Q12907]"				
LMAN2L	-1,9587	0,901	1,216	-1,7755	0,9135	4,2891	-2,3888	0,8907	0,4599	5,86	1,3	0	2	q11.2	"VIP36-like protein precursor (Lectin mannose-binding 2-like) (LMAN2- like protein). [Source:Uniprot/SWISSPROT;Acc:Q9H0V9]"				
LMBR1L	-1,9544	0,925	1,216	-2,4805	0,91	0,7301	-0,0907	0,9966	21,5379	4,1425	1,1524	0	12	q13.12	"Protein LMBR1L (Lipocalin-1-interacting membrane receptor) (Lipocalin- interacting membrane receptor) (Limb region 1 protein homolog-like). [Source:Uniprot/SWISSPROT;Acc:Q6UX01]"				
LMBRD1	-1,3485	0,9189	6,6377	2,361	1,1511	0,7301	2,2158	1,1344	1,3817	-3,1194	0,8441	0,0325	6	q13	"LMBR1 domain-containing protein 1 (Nuclear export signal-interacting protein) (HDAg-L-interacting protein NESI). [Source:Uniprot/SWISSPROT;Acc:Q9NUN5]"				
LMCD1	0,5675	1,0389	24,09	-2,6659	0,8437	0,3348	4,3599	1,2984	0	-2,1691	0,8806	0,6935	3	p26.1	"LIM and cysteine-rich domains protein 1 (Dyxin). [Source:Uniprot/SWISSPROT;Acc:Q9NZU5]"				
LMNA	4,491	1,2981	0	0,1995	1,0114	33,3649	4,9492	1,2982	0	-9,6443	0,6375	0	1	q22	"Lamin-A/C (70 kDa lamin) (Renal carcinoma antigen NY-REN-32). [Source:Uniprot/SWISSPROT;Acc:P02545]"				
LMNB1	-3,5881	0,7881	0	1,6502	1,1119	4,2891	-2,1113	0,8787	0,4599	3,6614	1,237	0	5	q23.2	"Lamin-B1. [Source:Uniprot/SWISSPROT;Acc:P20700]"				
LMNB2	-1,4898	0,93	4,8218	-0,9185	0,958	16,7477	-1,2537	0,9457	6,1022	3,395	1,1537	0,0073	19	p13.3	"Lamin-B2. [Source:Uniprot/SWISSPROT;Acc:Q03252]"				
LMO1	-1,7226	0,8688	2,0642	-1,7918	0,8695	4,2891	-0,1375	0,9897	21,5379	3,3173	1,2645	0,0073	11	p15.4	"Rhombotin-1 (LIM domain only protein 1) (Cysteine-rich protein TTG-1) (T-cell translocation protein 1). [Source:Uniprot/SWISSPROT;Acc:P25800]"				
LMO2	-0,2553	0,981	28,1676	3,2809	1,2612	0,0187	3,876	1,2971	0	-6,7631	0,6573	0	11	p13	"Rhombotin-2 (LIM domain only protein 2) (Cysteine-rich protein TTG-2) (T-cell translocation protein 2). [Source:Uniprot/SWISSPROT;Acc:P25791]"				
LMO3	-2,5686	0,6734	0,1677	-2,1471	0,7284	1,4462	1,0141	1,1543	14,6237	3,2592	1,5485	0,0073	12	p12.3	"LIM domain only protein 3 (Neuronal-specific transcription factor DAT1) (Rhombotin-3). [Source:Uniprot/SWISSPROT;Acc:Q8TAP4]"				
LMO4	0,6516	1,0375	21,7605	3,4523	1,2021	0,0187	-1,6962	0,9163	1,3817	-2,0753	0,9026	0,6935	1	p22.3	"LIM domain transcription factor LMO4 (LIM domain only protein 4) (LMO- 4) (Breast tumor autoantigen). [Source:Uniprot/SWISSPROT;Acc:P61968]"				
LMO6	3,0715	1,1368	0,1677	2,5717	1,1086	0,3348	-2,593	0,9056	0,1264	-2,5513	0,9105	0,2958	0	0	0				
LMO7	1,9045	1,1027	3,2175	-3,0204	0,863	0,1301	1,5721	1,0766	6,1022	-0,4298	0,9807	22,8783	13	q22.2	"LIM domain only protein 7 (LOMP) (F-box only protein 20). [Source:Uniprot/SWISSPROT;Acc:Q8WWI1]"				
LMOD1	-2,0362	0,8791	1,216	-3,6768	0,8027	0,0187	11,2267	1,7548	0	-4,3096	0,791	0	1	q32.1	"Leiomodin-1 (Leiomodin, muscle form) (64 kDa autoantigen D1) (64 kDa autoantigen 1D) (64 kDa autoantigen 1D3) (Thyroid-associated ophthalmopathy autoantigen) (Smooth muscle leiomodin) (SM-Lmod). [Source:Uniprot/SWISSPROT;Acc:P29536]"				
LMTK2	1,8507	1,0624	3,2175	-1,6258	0,9502	6,6672	-2,1856	0,9369	0,4599	1,9615	1,0578	1,4298	7	q21.3	"Serine/threonine-protein kinase LMTK2 precursor (EC 2.7.11.1) (Lemur tyrosine kinase 2) (Serine/threonine protein kinase KPI-2) (Kinase/phosphatase/inhibitor 2) (Apoptosis-associated tyrosine kinase 2) (Brain-enriched kinase) (hBREK) (CDK5/p35-regulated k [Source:Uniprot/SWISSPROT;Acc:Q8IWU2]"				
LMX1B	1,6484	1,0534	4,8218	-0,8316	0,9751	20,4598	-1,2506	0,9645	6,1022	0,5188	1,0145	18,2234	9	q33.3	"LIM homeobox transcription factor 1 beta (LIM/homeobox protein LMX1B) (LIM/homeobox protein 1.2) (LMX-1.2). [Source:Uniprot/SWISSPROT;Acc:O60663]"				
LNPEP	-2,7724	0,8648	0,066	4,0951	1,2246	0	4,4097	1,2305	0	-5,6129	0,7791	0	5	q15	"Leucyl-cystinyl aminopeptidase (EC 3.4.11.3) (Cystinyl aminopeptidase) (Oxytocinase) (OTase) (Insulin-regulated membrane aminopeptidase) (Insulin-responsive aminopeptidase) (IRAP) (Placental leucine aminopeptidase) (P-LAP) [Contains: Leucyl-cystinyl amino [Source:Uniprot/SWISSPROT;Acc:Q9UIQ6]"				
LOC130074	-1,7015	0,9204	3,2175	-5,6218	0,7771	0	-0,605	0,9733	21,5379	7,5406	1,3499	0	0	0	0				
LOC137886	-2,9407	0,8535	0,066	0,4136	1,0217	27,6634	-0,1676	0,9917	21,5379	2,346	1,1175	0,2958	0	0	0				
LOC200383	1,8405	1,12	3,2175	-4,6746	0,7643	0	-3,534	0,8218	0,0249	6,1876	1,3759	0	0	0	0				
LOC201229	0,172	1,0084	32,0584	-0,3251	0,9848	33,3649	-2,6055	0,8906	0,1264	2,6474	1,1195	0,1052	0	0	0				
LOC23117	2,0185	1,1457	2,0642	-0,3773	0,9758	33,3649	-1,0358	0,938	6,1022	-0,4216	0,9752	22,8783	0	0	0				
LOC26010	0,8421	1,0493	16,6018	0,0166	1,0009	38,7936	5,7813	1,3354	0	-6,3886	0,7378	0	0	0	0				
LOC283345	-0,2175	0,99	28,1676	-1,7912	0,9245	4,2891	-2,4211	0,904	0,4599	4,2299	1,181	0	0	0	0				
LOC283871	-1,5309	0,9459	4,8218	2,499	1,0901	0,3348	-1,499	0,9515	3,2152	0,5002	1,016	18,2234	0	0	0				
LOC339047	0,9383	1,0659	13,9168	-0,7375	0,9531	24,1232	-2,2934	0,8679	0,4599	2,0494	1,1293	0,6935	0	0	0				
LOC339229	2,012	1,116	2,0642	3,5687	1,2021	0	-2,4666	0,8846	0,4599	-2,6467	0,8815	0,1052	0	0	0				
LOC374395	2,5844	1,1211	0,6697	2,2343	1,0994	0,7301	-2,8476	0,8915	0,1264	-1,5826	0,9401	4,3519	0	0	0				
LOC400451	3,8015	1,255	0	-2,4209	0,8694	0,7301	-0,4482	0,9753	21,5379	-0,6374	0,9665	18,2234	0	0	0				
LOC400506	-2,1771	0,8993	0,6697	1,6151	1,0783	4,2891	-1,3741	0,9405	3,2152	1,7421	1,0773	1,4298	0	0	0				
LOC440348	0,6413	1,0334	21,7605	-1,055	0,9496	16,7477	-2,8995	0,8744	0,1264	3,1961	1,1521	0,0325	0	0	0				
LOC440350	0,6126	1,0346	21,7605	-1,1327	0,9416	13,0283	-2,0214	0,903	1,3817	2,4468	1,1255	0,2958	0	0	0				
LOC441601	1,0468	1,1453	13,9168	1,1318	1,1505	9,5943	-2,705	0,7278	0,1264	0,6198	1,0729	15,204	0	0	0				
LOC51035	1,166	1,0412	11,2803	-1,0834	0,9647	13,0283	-1,6757	0,9485	1,3817	1,5766	1,0489	2,6217	0	0	0				
LOC51136	-4,2395	0,7907	0	3,9242	1,2319	0	2,0976	1,1139	1,3817	-1,904	0,9101	1,4298	0	0	0				
LOC51145	2,3887	1,0842	1,216	-0,5654	0,9816	27,6634	-3,1692	0,9072	0,0249	1,4398	1,0438	4,3519	0	0	0				
LOC51233	2,554	1,0895	0,6697	2,6146	1,0875	0,3348	-0,1643	0,9949	21,5379	-4,5674	0,8766	0	0	0	0				
LOC51336	0,9335	1,0193	13,9168	1,2356	1,0245	9,5943	-0,6401	0,988	13,23	-1,3377	0,9762	6,6307	0	0	0				
LOC541469	1,9416	1,0985	3,2175	0,2271	1,0106	33,3649	-0,3267	0,9855	21,5379	-1,5929	0,9345	4,3519	0	0	0				
LOC552889	-1,6498	0,9082	3,2175	-4,5749	0,7793	0	-2,17	0,8911	0,4599	8,2646	1,4758	0	0	0	0				
LOC55565	-4,0099	0,8606	0	0,6262	1,0231	24,1232	-2,4107	0,9198	0,4599	5,3648	1,1887	0	0	0	0				
LOC55908	2,6032	1,0896	0,6697	-0,2339	0,9925	35,6069	-3,7763	0,8936	0	1,5054	1,0447	2,6217	0	0	0				
LOC57228	-2,7642	0,7882	0,066	-1,2358	0,9025	13,0283	-0,7533	0,942	9,6877	4,3546	1,3823	0	0	0	0				
LOC63920	-0,2631	0,9805	28,1676	-0,5739	0,9598	27,6634	-2,2793	0,8569	0,4599	2,961	1,2112	0,0325	0	0	0				
LOC643641	3,4093	1,1756	0,066	0,302	1,014	30,6701	-2,4256	0,8995	0,4599	-0,9109	0,9622	12,1755	0	0	0				
LOC644096	-2,9512	0,8319	0,066	3,1308	1,2049	0,0467	-2,3491	0,8743	0,4599	1,9711	1,1144	1,4298	0	0	0				
LOC728215	-2,7273	0,8765	0,066	-2,9391	0,8731	0,1301	12,6119	1,5942	0	-5,1987	0,807	0	0	0	0				
LOC730092	0,1629	1,0085	32,0584	-1,5179	0,9274	6,6672	-2,4143	0,8924	0,4599	3,6032	1,1751	0	0	0	0				
LOC81691	-0,0801	0,9958	33,3668	3,7799	1,2023	0	-4,6147	0,8084	0	0,9743	1,0453	9,2746	0	0	0				
LOC89944	4,5451	1,358	0	-1,69	0,8945	4,2891	-4,9277	0,7397	0	2,26	1,1457	0,6935	0	0	0				
LOC90379	-0,5248	0,9706	21,7605	-1,4219	0,9258	9,5943	-3,7635	0,8256	0	5,5165	1,3019	0	0	0	0				
LOC90925	-0,2144	0,9918	28,1676	1,8356	1,0691	2,5859	-0,5354	0,9814	21,5379	-0,9741	0,9679	12,1755	0	0	0				
LOC93349	2,4399	1,1771	0,6697	5,4876	1,4052	0	-0,6667	0,9598	13,23	-6,6874	0,6886	0	0	0	0				
LOH11CR2A	3,9707	1,3796	0	2,9841	1,2628	0,0467	0,2651	1,0202	21,5379	-6,7365	0,6304	0	11	q24.1	"Loss of heterozygosity 11 chromosomal region 2 gene A protein (Breast cancer suppressor candidate 1) (BCSC-1). [Source:Uniprot/SWISSPROT;Acc:O00534]"				
LOH3CR2A	1,4543	1,1158	6,6377	-4,1817	0,7441	0	5,3389	1,4262	0	-2,482	0,8495	0,2958	0	0	0				
LONP1	-0,2432	0,9881	28,1676	-0,6255	0,971	24,1232	-0,5548	0,9754	21,5379	1,3209	1,0583	4,3519	19	p13.3	"Lon protease homolog, mitochondrial precursor (EC 3.4.21.-) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (LONHs) (Serine protease 15). [Source:Uniprot/SWISSPROT;Acc:P36776]"				
LONRF3	0,2653	1,0162	29,8206	2,3357	1,1446	0,7301	-1,0002	0,9459	6,1022	-1,4027	0,928	6,6307	X	q24	"LON peptidase N-terminal domain and RING finger protein 3 (RING finger protein 127). [Source:Uniprot/SWISSPROT;Acc:Q496Y0]"				
LOR	0,4306	1,0203	26,2979	-2,1224	0,9097	1,4462	0,3265	1,014	20,8619	1,2449	1,0523	6,6307	1	q21.3	"Loricrin. [Source:Uniprot/SWISSPROT;Acc:P23490]"				
LOX	-5,8313	0,5697	0	-0,9652	0,9113	16,7477	16,4824	3,1817	0	-6,6551	0,5737	0	5	q23.1	"Protein-lysine 6-oxidase precursor (EC 1.4.3.13) (Lysyl oxidase). [Source:Uniprot/SWISSPROT;Acc:P28300]"				
LOXL1	-5,9791	0,6196	0	-5,216	0,6679	0	14,4434	2,4245	0	-1,4915	0,8966	4,3519	15	q24.1	"Lysyl oxidase homolog 1 precursor (EC 1.4.3.-) (Lysyl oxidase-like protein 1) (LOL). [Source:Uniprot/SWISSPROT;Acc:Q08397]"				
LOXL2	-5,8612	0,7269	0	-4,4378	0,7903	0	18,9835	2,005	0	-4,0632	0,8202	0	8	p21.3	"Lysyl oxidase homolog 2 precursor (EC 1.4.3.-) (Lysyl oxidase-like protein 2) (Lysyl oxidase-related protein 2) (Lysyl oxidase-related protein WS9-14). [Source:Uniprot/SWISSPROT;Acc:Q9Y4K0]"				
